<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.04	14:07:09	13.2367	13.2372	13.2360	13.2360	4	0	199
2025.02.04	14:07:10	13.2365	13.2365	13.2360	13.2360	2	0	200
2025.02.04	14:07:12	13.2362	13.2367	13.2362	13.2367	2	0	199
2025.02.04	14:07:15	13.2370	13.2370	13.2370	13.2370	1	0	199
2025.02.04	14:07:16	13.2367	13.2367	13.2367	13.2367	1	0	199
2025.02.04	14:07:17	13.2362	13.2375	13.2362	13.2375	2	0	199
2025.02.04	14:07:18	13.2370	13.2370	13.2370	13.2370	1	0	199
2025.02.04	14:07:20	13.2367	13.2367	13.2362	13.2362	2	0	199
2025.02.04	14:07:21	13.2360	13.2362	13.2357	13.2362	4	0	199
2025.02.04	14:07:22	13.2360	13.2360	13.2360	13.2360	1	0	199
2025.02.04	14:07:24	13.2370	13.2372	13.2365	13.2370	5	0	199
2025.02.04	14:07:25	13.2372	13.2372	13.2360	13.2367	7	0	199
2025.02.04	14:07:26	13.2362	13.2367	13.2362	13.2365	4	0	199
2025.02.04	14:07:27	13.2367	13.2370	13.2367	13.2370	2	0	199
2025.02.04	14:07:28	13.2372	13.2377	13.2372	13.2372	3	0	199
2025.02.04	14:07:29	13.2370	13.2375	13.2357	13.2375	4	0	199
2025.02.04	14:07:30	13.2370	13.2370	13.2360	13.2365	4	0	199
2025.02.04	14:07:31	13.2367	13.2370	13.2367	13.2367	3	0	199
2025.02.04	14:07:32	13.2370	13.2370	13.2367	13.2367	4	0	199
2025.02.04	14:07:33	13.2365	13.2370	13.2365	13.2367	3	0	200
2025.02.04	14:07:34	13.2370	13.2370	13.2370	13.2370	1	0	199
2025.02.04	14:07:36	13.2367	13.2367	13.2362	13.2362	3	0	199
2025.02.04	14:07:37	13.2370	13.2370	13.2370	13.2370	1	0	199
2025.02.04	14:07:40	13.2372	13.2372	13.2372	13.2372	1	0	199
2025.02.04	14:07:44	13.2385	13.2385	13.2377	13.2377	2	0	199
2025.02.04	14:07:45	13.2390	13.2397	13.2390	13.2392	5	0	199
2025.02.04	14:07:46	13.2397	13.2397	13.2392	13.2392	4	0	200
2025.02.04	14:07:47	13.2390	13.2397	13.2390	13.2397	3	0	199
2025.02.04	14:07:48	13.2395	13.2395	13.2395	13.2395	1	0	199
2025.02.04	14:07:50	13.2397	13.2397	13.2397	13.2397	1	0	200
2025.02.04	14:07:52	13.2400	13.2402	13.2400	13.2402	4	0	199
2025.02.04	14:07:53	13.2405	13.2412	13.2405	13.2407	3	0	199
2025.02.04	14:07:57	13.2412	13.2412	13.2407	13.2407	2	0	200
2025.02.04	14:07:58	13.2410	13.2412	13.2410	13.2412	2	0	199
2025.02.04	14:07:59	13.2415	13.2420	13.2415	13.2420	2	0	199
2025.02.04	14:08:00	13.2425	13.2425	13.2425	13.2425	1	0	199
2025.02.04	14:08:02	13.2427	13.2430	13.2427	13.2430	4	0	200
2025.02.04	14:08:04	13.2432	13.2432	13.2432	13.2432	1	0	199
2025.02.04	14:08:06	13.2435	13.2437	13.2432	13.2437	3	0	200
2025.02.04	14:08:07	13.2442	13.2442	13.2442	13.2442	1	0	200
2025.02.04	14:08:08	13.2437	13.2437	13.2422	13.2422	4	0	199
2025.02.04	14:08:09	13.2420	13.2422	13.2417	13.2420	4	0	199
2025.02.04	14:08:10	13.2417	13.2417	13.2415	13.2415	2	0	199
2025.02.04	14:08:11	13.2417	13.2417	13.2415	13.2417	3	0	199
2025.02.04	14:08:12	13.2415	13.2415	13.2410	13.2410	3	0	199
2025.02.04	14:08:13	13.2412	13.2412	13.2412	13.2412	1	0	200
2025.02.04	14:08:20	13.2397	13.2407	13.2397	13.2407	2	0	200
2025.02.04	14:08:23	13.2420	13.2425	13.2420	13.2425	2	0	199
2025.02.04	14:08:24	13.2432	13.2432	13.2417	13.2420	3	0	199
2025.02.04	14:08:25	13.2422	13.2425	13.2407	13.2407	4	0	199
2025.02.04	14:08:26	13.2405	13.2417	13.2402	13.2402	6	0	199
2025.02.04	14:08:27	13.2412	13.2420	13.2402	13.2402	6	0	200
2025.02.04	14:08:28	13.2405	13.2405	13.2405	13.2405	1	0	199
2025.02.04	14:08:29	13.2400	13.2402	13.2400	13.2402	2	0	199
2025.02.04	14:08:30	13.2400	13.2400	13.2392	13.2392	2	0	199
2025.02.04	14:08:33	13.2395	13.2410	13.2395	13.2407	3	0	199
2025.02.04	14:08:36	13.2410	13.2412	13.2405	13.2405	4	0	199
2025.02.04	14:08:37	13.2407	13.2412	13.2402	13.2402	3	0	199
